login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
midudev,midudev/hackathons,2022-05-05T14:24:19Z,8,8,,True,True,
midudev,midudev/google-meet-clone,2022-04-22T19:50:58Z,39,39,JavaScript,True,True,
midudev,midudev/taller-platzi-live,2022-04-22T10:33:24Z,16,16,JavaScript,True,True,
midudev,midudev/libro-descubre-svelte-issues,2022-04-09T10:30:55Z,10,10,,True,True,
midudev,midudev/xkcd-app,2022-04-01T20:11:39Z,12,12,JavaScript,True,True,
midudev,midudev/vota.dev,2022-01-06T19:08:32Z,97,97,TypeScript,True,True,
midudev,midudev/twitter-autocomplete-react-algolia,2022-02-28T18:13:57Z,24,24,CSS,True,True,
ai,ai/keyux,2024-02-12T12:00:43Z,433,433,TypeScript,False,False,mit
ai,ai/nanoid,2017-08-05T05:24:35Z,24580,24580,JavaScript,False,False,mit
ai,ai/environment,2009-07-03T16:05:47Z,206,206,Shell,True,False,mit
ai,ai/boilerplates,2021-11-17T22:44:52Z,11,11,JavaScript,False,False,
ai,ai/nanoevents,2016-09-20T05:47:44Z,1482,1482,TypeScript,False,False,mit
ai,ai/size-limit,2017-06-25T05:18:40Z,6553,6553,JavaScript,False,False,mit
ai,ai/eslint-plugin-escompat,2024-09-25T20:21:36Z,0,0,,True,True,mit
ai,ai/webp-in-css,2019-03-12T18:57:35Z,346,346,JavaScript,False,False,mit
ai,ai/audio-recorder-polyfill,2017-11-25T14:53:51Z,584,584,JavaScript,False,False,mit
ai,ai/hide-keyboard-layout,2020-04-04T10:35:32Z,18,18,JavaScript,True,True,mit
ai,ai/autohide-battery,2013-02-03T13:37:11Z,31,31,JavaScript,False,False,mit
ai,ai/localfirstnews,2024-08-22T16:47:34Z,4,4,,True,False,
ai,ai/dual-publish,2020-02-15T20:14:15Z,187,187,JavaScript,False,False,mit
ai,ai/jstransformer-lowlight,2019-12-08T13:23:14Z,5,5,JavaScript,True,True,mit
ai,ai/better-node-test,2023-09-27T19:26:52Z,26,26,JavaScript,False,False,mit
ai,ai/check-dts,2020-02-08T01:40:07Z,141,141,JavaScript,False,False,mit
ai,ai/susedko,2022-05-23T12:16:57Z,14,14,JavaScript,False,False,mit
ai,ai/easings.net,2012-03-22T10:27:18Z,8035,8035,CSS,False,False,gpl-3.0
ai,ai/sitnik.ru,2009-02-26T17:44:31Z,58,58,JavaScript,False,False,mit
ai,ai/autoprefixer-rails,2013-04-04T22:01:13Z,1215,1215,Ruby,True,False,mit
ai,ai/ssdeploy,2019-12-30T19:25:18Z,194,194,JavaScript,False,False,mit
ai,ai/universal-layout,2024-04-19T20:26:57Z,8,8,,False,False,mit
ai,ai/asdf-cache-action,2022-09-07T17:29:16Z,16,16,,False,False,
ai,ai/pull-request-auto-reviewer,2024-05-23T14:49:51Z,3,3,,True,True,
ai,ai/convert-layout,2015-11-06T09:29:23Z,251,251,JavaScript,False,False,mit
ai,ai/cli,2024-05-16T17:16:03Z,1,1,,True,True,mit
ai,ai/test-repo,2024-05-10T15:18:14Z,0,0,,True,True,
ai,ai/ai,2021-06-03T20:20:57Z,6,6,,True,True,
ai,ai/source-map-js,2024-03-18T17:29:24Z,2,2,,True,True,other
ai,ai/vas3k.club,2024-03-12T08:38:40Z,1,1,,True,False,mit
ai,ai/node-netmask,2024-02-15T23:15:33Z,1,1,,True,True,mit
ai,ai/visibilityjs,2011-06-19T12:58:26Z,1825,1825,JavaScript,True,False,mit
ai,ai/postcss-html,2023-12-29T16:31:53Z,2,2,,True,False,mit
ai,ai/pnpm,2023-12-23T18:45:30Z,2,2,,True,False,mit
ai,ai/storybook,2023-12-03T08:25:41Z,3,3,,True,False,mit
ai,ai/eslint-plugin-node-import,2023-09-07T09:24:36Z,0,0,,True,False,isc
ai,ai/uvu,2023-09-06T13:17:56Z,0,0,,True,False,mit
ai,ai/nanodelay,2017-10-21T20:07:33Z,193,193,JavaScript,False,False,mit
ai,ai/ci-job-number,2017-07-04T13:48:23Z,14,14,JavaScript,False,False,mit
ai,ai/nanospy,2021-11-20T21:48:24Z,138,138,TypeScript,False,False,mit
ai,ai/web-standards.ru,2023-03-08T11:27:59Z,0,0,,True,False,
ai,ai/print-snapshots,2020-02-09T18:42:40Z,15,15,JavaScript,False,False,mit
ai,ai/offscreen-canvas,2019-03-26T17:47:44Z,335,335,JavaScript,False,False,mit
ai,ai/caniuse,2022-08-17T00:31:54Z,1,1,,True,True,cc-by-4.0
ai,ai/parcel-css,2022-04-11T18:15:32Z,1,1,,True,True,mpl-2.0
ai,ai/color.js,2022-02-19T16:13:07Z,0,0,,True,True,mit
ai,ai/nanocolors,2021-09-21T02:32:09Z,868,868,JavaScript,False,True,mit
ai,ai/martian-logux-demo,2021-10-05T12:58:46Z,17,17,TypeScript,False,False,
ai,ai/yaspeller-ci,2017-03-03T11:36:27Z,61,61,JavaScript,False,False,mit
ai,ai/jest-ci,2020-02-15T19:23:17Z,5,5,JavaScript,True,True,mit
ai,ai/rails-sass-images,2013-04-14T14:04:37Z,114,114,Ruby,False,False,mit
ai,ai/autoprefixer-cli,2015-08-31T17:04:26Z,14,14,JavaScript,True,True,mit
ai,ai/rake-completion,2009-11-25T11:49:00Z,64,64,Shell,True,True,lgpl-3.0
ai,ai/jquery-cdn,2013-08-24T15:52:29Z,59,59,Ruby,True,True,other
ai,ai/plain_record,2009-05-18T20:19:26Z,24,24,Ruby,True,False,lgpl-3.0
ai,ai/evil-front,2013-01-25T13:13:27Z,101,101,Ruby,True,True,
ai,ai/evil-blocks,2013-04-29T18:40:26Z,131,131,JavaScript,True,True,mit
ai,ai/postcss-isolation,2015-11-27T13:42:42Z,14,14,,True,True,
ai,ai/showbox,2015-09-08T18:26:45Z,11,11,JavaScript,True,True,mit
ai,ai/postcss-way,2015-09-10T20:56:51Z,9,9,,True,True,
ai,ai/showbox-ai,2015-09-12T15:46:47Z,3,3,CSS,True,True,mit
ai,ai/showbox-bright,2015-09-09T18:44:23Z,3,3,JavaScript,True,True,mit
ai,ai/showbox-shower,2015-09-09T19:09:06Z,2,2,JavaScript,True,True,mit
ai,ai/load-resources,2015-05-11T17:49:01Z,16,16,JavaScript,True,False,mit
ai,ai/autoprefixer-core,2014-08-18T11:29:17Z,136,136,JavaScript,True,True,
ai,ai/about-postcss,2014-09-02T08:57:10Z,29,29,Ruby,True,True,
ai,ai/fotoramajs,2013-07-15T10:26:45Z,44,44,Ruby,True,True,other
ai,ai/pages.js,2012-04-24T10:23:35Z,44,44,CoffeeScript,True,False,lgpl-3.0
ai,ai/gulp-bench-summary,2014-11-13T12:18:22Z,8,8,JavaScript,True,True,mit
ai,ai/file-container,2014-08-24T18:45:38Z,14,14,JavaScript,True,True,mit
ai,ai/darian,2012-05-16T11:21:56Z,25,25,Ruby,True,True,mit
ai,ai/compass.js,2012-11-10T08:06:49Z,113,113,CoffeeScript,True,False,mit
ai,ai/transition-events,2012-09-05T12:04:06Z,133,133,JavaScript,True,False,lgpl-3.0
ai,ai/wsd2013,2013-10-18T08:50:39Z,4,4,Ruby,True,True,gpl-3.0
ai,ai/anim2012,2012-09-12T22:42:15Z,8,8,Ruby,True,False,gpl-3.0
ai,ai/rit3d,2012-03-27T19:46:52Z,6,6,CSS,True,False,gpl-3.0
ai,ai/twitter2vk,2009-10-09T18:52:04Z,16,16,Ruby,True,False,gpl-3.0
ai,ai/dis.spbstu.ru,2011-07-01T20:00:02Z,5,5,Ruby,True,True,agpl-3.0
ai,ai/evolu-lang,2010-08-11T23:29:43Z,22,22,JavaScript,True,False,lgpl-3.0
ai,ai/plague,2011-10-27T04:31:48Z,4,4,Ruby,True,True,
ai,ai/insomnis,2011-10-27T04:36:31Z,4,4,,True,True,
ai,ai/on_the_islands,2011-02-06T12:41:52Z,2,2,Ruby,True,True,
ai,ai/evolu-steam,2011-02-01T17:34:46Z,5,5,JavaScript,True,False,lgpl-3.0
ai,ai/d2na,2008-12-17T00:05:49Z,11,11,Ruby,True,False,
ai,ai/ruby2jar,2009-07-16T10:53:37Z,3,3,Ruby,True,False,gpl-3.0
raysan5,raysan5/raylib,2013-10-24T15:46:04Z,22434,22434,C,False,True,zlib
raysan5,raysan5/raylib-gamejam-template,2022-11-29T17:27:12Z,51,51,Makefile,False,False,zlib
raysan5,raysan5/raylib_project_creator,2024-09-26T11:25:24Z,160,160,C,False,False,zlib
raysan5,raysan5/rguilayout,2018-08-17T18:03:04Z,97,97,C,False,False,zlib
raysan5,raysan5/rini,2023-05-18T13:56:27Z,61,61,C,False,False,zlib
raysan5,raysan5/raylib-game-template,2021-06-30T16:44:07Z,406,406,C,False,False,zlib
raysan5,raysan5/rguistyler,2018-08-17T17:53:28Z,52,52,C,False,False,zlib
raysan5,raysan5/rguiicons,2019-09-01T09:56:12Z,49,49,C,False,False,zlib
raysan5,raysan5/rfxgen,2017-03-04T12:35:46Z,428,428,C,False,False,zlib
raysan5,raysan5/raudio,2019-01-19T15:23:09Z,172,172,C,False,False,zlib
raysan5,raysan5/raylib-games,2020-04-10T18:47:08Z,560,560,C,True,True,zlib
raysan5,raysan5/raygui,2016-06-15T18:33:19Z,3522,3522,C,False,False,zlib
raysan5,raysan5/raylib.com,2017-07-24T17:39:55Z,70,70,C,False,False,zlib
raysan5,raysan5/raysan5,2024-04-20T10:11:55Z,9,9,,True,True,
raysan5,raysan5/riconpacker,2018-09-28T15:49:10Z,46,46,C,False,False,zlib
raysan5,raysan5/rpng,2020-05-27T10:06:23Z,171,171,C,False,False,zlib
raysan5,raysan5/rres,2017-12-08T18:23:57Z,393,393,C,False,False,mit
raysan5,raysan5/FileDetectionRuleSets,2024-03-29T08:57:03Z,2,2,PHP,True,False,mit
raysan5,raysan5/raylib-intro-course,2022-11-13T17:43:34Z,194,194,C,False,False,other
raysan5,raysan5/challenges,2017-02-23T16:32:32Z,165,165,C,False,False,other
raysan5,raysan5/raylib-code-club,2022-08-31T19:15:21Z,28,28,C,False,False,zlib
raysan5,raysan5/physac,2022-06-06T08:51:00Z,24,24,C,False,False,
raysan5,raysan5/mic,2021-09-25T22:13:57Z,23,23,C,False,False,mit
raysan5,raysan5/raylib-lua,2017-02-05T01:59:21Z,123,123,C,False,False,other
raysan5,raysan5/game_project_template,2020-02-09T12:36:22Z,19,19,C++,False,False,mit
raysan5,raysan5/mod,2019-12-04T19:42:22Z,47,47,,False,False,mit
vfarcic,vfarcic/devops-catalog-code,2020-04-07T16:21:47Z,52,52,HCL,True,True,
vfarcic,vfarcic/upbound-devex-demo,2024-10-24T20:33:42Z,0,0,,True,True,
vfarcic,vfarcic/crossplane-kubernetes,2023-05-19T23:04:43Z,33,33,Just,True,True,
vfarcic,vfarcic/crossplane-sql,2023-06-15T22:59:13Z,8,8,Nix,True,True,
vfarcic,vfarcic/youtube-automation,2023-08-16T22:18:29Z,5,5,Go,True,True,
vfarcic,vfarcic/devopstoolkit-live,2024-05-01T05:18:12Z,0,0,CSS,True,True,
vfarcic,vfarcic/nu-scripts,2024-10-11T19:41:11Z,0,0,Nushell,True,True,
vfarcic,vfarcic/kargo-demo,2024-10-19T20:53:51Z,1,1,Nushell,True,True,
vfarcic,vfarcic/crossplane-tutorial,2023-12-23T18:47:03Z,46,46,Shell,True,True,
vfarcic,vfarcic/cncf-demo,2022-11-11T19:47:35Z,197,197,Go,True,True,
vfarcic,vfarcic/silly-demo,2018-04-10T18:51:22Z,14,14,CUE,True,True,
vfarcic,vfarcic/nats-demo,2024-10-16T23:28:02Z,0,0,,True,True,
vfarcic,vfarcic/argo-rollouts-demo,2024-04-21T02:08:13Z,0,0,Nushell,True,True,
vfarcic,vfarcic/vfarcic.github.io,2014-02-03T23:15:47Z,149,149,HTML,True,True,mit
vfarcic,vfarcic/backstage-demo,2024-09-02T07:05:15Z,0,0,TypeScript,True,True,
vfarcic,vfarcic/dotfiles,2024-06-08T17:30:46Z,7,7,Shell,True,True,
vfarcic,vfarcic/kubernetes-gpu-demo,2024-08-18T19:56:20Z,1,1,Nushell,True,True,
vfarcic,vfarcic/kubebuilder-demo,2024-10-04T11:29:18Z,0,0,,True,True,
vfarcic,vfarcic/kserve-demo,2024-08-26T03:03:14Z,0,0,Nix,True,True,
vfarcic,vfarcic/port-crds-demo,2024-05-22T21:16:28Z,0,0,Shell,True,True,
vfarcic,vfarcic/crossplane-gh,2024-06-24T19:35:43Z,0,0,Shell,True,True,
vfarcic,vfarcic/nudgebee-demo,2024-09-06T21:50:08Z,0,0,Nix,True,True,
vfarcic,vfarcic/groundcover-demo,2022-11-06T10:37:21Z,0,0,JavaScript,True,True,
vfarcic,vfarcic/devtron-2-demo,2024-08-01T11:50:23Z,0,0,,True,True,
vfarcic,vfarcic/crossplane-app,2023-05-07T19:48:03Z,4,4,Shell,True,True,
vfarcic,vfarcic/kubernetes-demo,2024-03-23T19:15:09Z,3,3,Nushell,True,True,
vfarcic,vfarcic/crossplane-openfunction-dapr-demo,2024-01-17T17:06:50Z,1,1,Shell,True,True,
vfarcic,vfarcic/kubefirst-demo,2024-08-20T21:27:36Z,0,0,,True,True,
vfarcic,vfarcic/kubescape-node-agent,2024-06-23T21:16:17Z,0,0,Shell,True,True,
vfarcic,vfarcic/renovate-demo2,2022-06-09T14:00:46Z,0,0,Go,True,True,
vfarcic,vfarcic/cortex-demo,2024-08-11T22:56:32Z,0,0,,True,True,
vfarcic,vfarcic/clis-demo,2024-06-15T19:33:34Z,0,0,CUE,True,True,
vfarcic,vfarcic/cnoe-demo,2024-07-28T15:09:58Z,0,0,,True,True,
vfarcic,vfarcic/holmesgpt-demo,2024-07-25T10:40:57Z,0,0,,True,True,
vfarcic,vfarcic/dotfiles-demo,2024-06-10T23:36:48Z,0,0,,True,True,
vfarcic,vfarcic/atlas-testing-demo,2024-07-14T22:17:14Z,0,0,HCL,True,True,
vfarcic,vfarcic/vcluster-crds-demo,2024-07-11T15:09:59Z,0,0,,True,True,
vfarcic,vfarcic/porter-demo,2023-12-06T21:29:17Z,0,0,Dockerfile,True,True,
vfarcic,vfarcic/tmux-demo,2024-07-05T01:43:50Z,0,0,,True,True,
vfarcic,vfarcic/teller-demo,2023-07-05T20:42:08Z,0,0,Go,True,True,
vfarcic,vfarcic/minder-demo,2024-06-07T13:38:44Z,0,0,,True,True,
vfarcic,vfarcic/steampipe-demo,2024-05-12T19:18:14Z,0,0,Shell,True,True,
vfarcic,vfarcic/kwasm-demo,2024-05-02T00:29:19Z,0,0,Go,True,True,
vfarcic,vfarcic/argo-events-gh-demo,2024-06-04T21:48:12Z,2,2,Go,True,True,
vfarcic,vfarcic/london-2024,2024-04-12T13:49:47Z,0,0,HCL,True,True,
vfarcic,vfarcic/fabric,2024-05-31T21:04:06Z,0,0,Python,True,True,mit
vfarcic,vfarcic/keptn-demo,2024-05-28T22:17:18Z,0,0,,True,True,
vfarcic,vfarcic/network-policies-demo,2023-03-18T16:28:01Z,0,0,,True,True,
vfarcic,vfarcic/inspektor-gadget-demo,2024-04-04T00:55:13Z,0,0,,True,True,
vfarcic,vfarcic/idp-demo,2023-04-02T20:54:15Z,26,26,Shell,True,True,
vfarcic,vfarcic/clusterpedia-demo,2024-04-11T00:25:06Z,0,0,Shell,True,True,
vfarcic,vfarcic/fermyon-spin-demo,2024-05-01T17:39:04Z,0,0,Go,True,True,
vfarcic,vfarcic/spinkube-demo,2024-05-01T23:02:20Z,0,0,,True,True,
vfarcic,vfarcic/flagger-contour,2024-04-30T23:55:56Z,0,0,Nix,True,True,
vfarcic,vfarcic/radius-demo,2024-04-24T23:42:08Z,0,0,Bicep,True,True,
vfarcic,vfarcic/ocm-demo,2024-04-15T00:17:21Z,0,0,,True,True,
vfarcic,vfarcic/logging-operator-demo,2024-04-07T17:24:06Z,0,0,,True,True,
vfarcic,vfarcic/cilium-demo,2022-12-29T02:50:28Z,0,0,Mustache,True,True,
vfarcic,vfarcic/prometheus-demo,2024-03-31T11:25:49Z,0,0,,True,True,
vfarcic,vfarcic/crossplane-observability-demo,2024-01-26T00:02:32Z,8,8,Shell,True,True,
vfarcic,vfarcic/openfga-demo,2024-03-08T12:50:22Z,0,0,Go,True,True,
vfarcic,vfarcic/crossplane-db-schemas-demo,2024-01-27T17:59:23Z,0,0,Shell,True,True,
vfarcic,vfarcic/keycloak-demo,2023-05-04T19:51:00Z,0,0,,True,True,
vfarcic,vfarcic/ddosify-demo,2023-05-03T23:38:58Z,0,0,Mustache,True,True,
vfarcic,vfarcic/demo-project,2024-02-22T07:25:19Z,0,0,,True,True,
vfarcic,vfarcic/external-secrets-crossplane-demo,2024-01-26T16:40:27Z,0,0,Shell,True,True,
vfarcic,vfarcic/cloud-native-pg-demo,2023-04-30T13:57:18Z,1,1,,True,True,
vfarcic,vfarcic/perfectscale-demo,2023-11-26T18:41:21Z,1,1,Shell,True,True,
vfarcic,vfarcic/tetragon-demo,2024-02-10T01:36:19Z,0,0,Nix,True,True,
vfarcic,vfarcic/kubernetes-deployment-demo,2024-01-24T19:56:15Z,1,1,Shell,True,True,
vfarcic,vfarcic/openfunction-demo,2023-10-22T12:55:10Z,0,0,Shell,True,True,
vfarcic,vfarcic/kubewarden-demo,2023-12-04T22:10:58Z,0,0,,True,True,
vfarcic,vfarcic/github-actions-demo,2021-04-02T12:19:23Z,2,2,SCSS,True,True,
vfarcic,vfarcic/kubernetes-events-demo,2024-01-02T18:27:48Z,0,0,Shell,True,True,
vfarcic,vfarcic/sops-demo,2023-12-26T17:59:02Z,0,0,Nix,True,True,
vfarcic,vfarcic/kubeblocks-demo,2023-11-02T21:32:07Z,0,0,,True,True,
vfarcic,vfarcic/crossplane-function-loop,2023-10-07T13:13:51Z,5,5,Go,True,True,apache-2.0
vfarcic,vfarcic/docker-flow-jenkins,2016-03-09T09:59:48Z,0,0,Java,True,True,mit
vfarcic,vfarcic/renovate-demo,2022-06-08T22:03:16Z,0,0,Go,True,True,
vfarcic,vfarcic/container-ssh-demo,2023-12-13T18:08:23Z,0,0,,True,True,
vfarcic,vfarcic/acorn-demo,2023-10-29T20:02:01Z,0,0,Go,True,True,
vfarcic,vfarcic/kubewarden-deployment,2023-12-07T12:31:39Z,0,0,Go,True,True,apache-2.0
vfarcic,vfarcic/kubewarden-crossplane-sql,2023-12-04T14:25:39Z,0,0,Go,True,True,apache-2.0
vfarcic,vfarcic/paralus-demo,2023-12-03T17:57:39Z,0,0,,True,True,
vfarcic,vfarcic/notary-demo,2023-11-29T21:33:35Z,0,0,,True,True,
vfarcic,vfarcic/db-schema-git-demo,2023-10-01T09:54:28Z,0,0,Go,True,True,
vfarcic,vfarcic/argo-combined-app,2021-02-02T08:52:24Z,37,37,SCSS,True,True,apache-2.0
vfarcic,vfarcic/stormforge-demo,2023-11-02T00:07:35Z,0,0,,True,True,
vfarcic,vfarcic/falco-demo,2023-09-02T15:08:06Z,0,0,,True,True,
vfarcic,vfarcic/karmor-demo,2023-10-11T15:53:16Z,0,0,,True,True,
vfarcic,vfarcic/function-template-go,2023-10-04T12:27:09Z,1,1,Go,True,True,apache-2.0
